,Job Id,Title,Location,Company,Salary,Job Post Link,Job Description
0,pj_5ac024320e29164e,BIOINFORMATICS SCIENTIST/Data Scientist,"Brooklyn, NY","Integrated Resources, Inc","$145,000 - $225,000 a year",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ChGDA3dHhQ7DeibpHF6Ycb283WHvq32lJdIYUASOP1WK2gFf61Sh9bi2VNJLKaZ183yodUOzDxy4E_Vnmnkya3v1zYfpUYKRbvkjezfok-0IRb27Bq89OqN6NNFYx5iH6uhblwkN_jRST3PUsQ__6JxseC7rWzlQH2UvCSay9obVYS5gwxGTEdnMEMr_gz-BnvopI0MRK0ghsBRr-_h4oEl2T-mIW4ZHN_AgbDXduIUOA-0qfv3ChYNEM2bh2HbVEH17u6miFYjvGQAz1D4IRwQBZJBw27duxZaTOyMDj1GOPl4F1Ohz9EIc_IwckhbPLF9JUpell4BRdQo1JeNLH-jWUZs0OZ-ktUgrTr1jKhTg3QXN8SPg-lpw3m1CjdlJ-7R2V6O8nh-aKspTn5EKd2GBp7Xs-Z_jRy3X2Rqr06OXiEzpim3bYWpJdts_UoEdFJaEHeJ0lY_A==&p=0&fvj=1&vjs=3,"Work Location: La Jolla – CA ( remote to start / commuting distance to eventually go onsite)Duration: 18 months Contract position on W2Job Title: Bioinformatics NGSJob Description: Role summary:We are looking for a talented and highly motivated computational biology scientist to join a team supporting analyses of molecular biomarker data from oncology clinical trials. The scientist will work within a computational biology group to support translational oncology research and development. The scientist will perform correlative analysis of clinical biomarker data with clinical outcome, identify biomarkers for pharmacological effects of drug treatment, among others. The scientist will also contribute to clinical biomarker compendium by processing and consolidating multi-omics data such as expression and mutational data from from RNA-Seq and whole-exome sequencing (WES). The analyst will work with the computational biology team to address analytical needs from the translational oncology leads, global medical team, medical investigators and other functional lines.Basic qualifications:Ph.D./Masters in computational biology, genetics/genomics, biostatistics or a related field, or alternatively a quantitative field with experience in the above areas.Proficiency in statistical analysis using R, a scripting language (Perl or Python) and familiarity working with the UNIX/LUNIX environment.Strong communication skills (oral and written) and ability to multi-task.Preferred qualifications:Experience working with clinical biomarker dataExperience working with RNA-Seq or WES dataExperience developing a R-shiny serverFamiliarity with basic statistical methods such as Cox Proportional Hazards model, logistic regression, linear regression, Wilcoxon rank sum test etc.What is the minimum education experience required?:PhD or Master's degree in computational biology, genetics/genomics, biostatistics or a related fieldBS and 8+ yearsJob Type: ContractPay: $70.00 - $72.00 per hourContract Length:More than 1 yearFull Time Opportunity:YesAdditional Compensation:Other formsWork Location:One locationSchedule:Monday to FridayCompany's website:www.irionline.comCompany's Facebook page:www.irionline.comBenefit Conditions:Waiting period may applyWork Remotely:No"
1,pj_d3fe193eb8430aa2,Data Scientist,"New York, NY",Triplebyte,"$145,000 - $225,000 a year",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AMr11YIOo206dX9CE572HoIBzjTozchv3QrfVeNVhstmAbPwFeZPDdIHWIRTi_7rD14lCNYGuwtEHA9YNHEeYrn3dcDEiIg_Ik5NF1f4VEKEnmaJokHG5qxmDtvgjd2KF3cZS1nO_oXoK1Y5_vS7D1LjkOzTVcVLRBGqi0YSDl9Vi2tB_MCtHDHB59f-ZNQ8lTQ_If-N_FePgNk35CYsO5rIuZIDnCZ9L87KRo4JxJ5gDC3ah4Qz30mm8zF5JItrm7F1Cuu0Ziuuf1ACPNmcl2tZR7jmCRNZj5tDqhqIuPM8KzZsAgThUFlVVTkpBdqx7cMCcXZkts6puRAO-yWR9MqvgXnJqCmibZjqIvz_VgazVwaZxihBZojkYbZwON73Y8p7vYqP8_sz2hf9pzb9OJY_8MA1GD742IQBJFhaAcO8JFRAB2z3sEG8sjgOoDC8EhBBQlULIeUucnE9WPMq2oFT_Kk6aCyZsm4ulRitTbnCJVmLM0_eSe&p=1&fvj=1&vjs=3,"Role DescriptionAs a data scientist at Triplebyte, you’ll have the opportunity to work on a variety of challenges to help us scale. You'll be part of a small team, who are leveraging data to fix technical hiring. Your day to day, will include a mix of dataset acquisition, statistical modeling, exploratory data analysis, and software engineering. You’ll report directly to Triplebytes' Head of Machine Learning and will work alongside a team of 6-8 machine learning engineers and data scientists.Fields your work will touch onPsychometricsRecommender systemsTime series analysisSurvival analysisBayesian inferenceProbabilistic programmingThis is an ideal role for a data scientist who wants the scope and responsibility to own features/products from the inception and research phase through to measuring real-world results.About TriplebyteTriplebyte is a hiring marketplace used by companies like Apple, Dropbox, Stripe, and Instacart to hire the best technical talent. We are on a mission to build a meritocratic hiring process, and we do all our evaluation background blind. Our ultimate goal is to collect the largest dataset and use this to build the world's best technical hiring process. No other company has successfully done what we're doing in this field.We are growing extremely quickly, working on a problem that is fundamental, sitting at the crossroads between the workforce and employers. Ten years from now, it'll look silly to use anything other than Triplebyte for technical hiring.Company CultureWe have a laid-back, friendly office culture. Over lunch you'll often find us discussing the latest in technology, books, and pop culture, and then maybe getting in a quick game of chess or babyfoot (foosball).Since we're an early-stage company, we move fast, and it's important that each member of our team is able to take ownership of projects by defining problems, brainstorming solutions, and running experiments.Job Type: Full-timePay: $145,000.00 - $225,000.00 per yearBenefits:401(k)Dental InsuranceFlexible ScheduleFlexible Spending AccountHealth InsurancePaid Time OffParental LeaveProfessional Development AssistanceReferral ProgramRelocation AssistanceVision InsuranceSchedule:Monday to FridayWork Location:Fully RemoteThis Job Is Ideal for Someone Who Is:Achievement-oriented -- enjoys taking on challenges, even if they might failAutonomous/Independent -- enjoys working with little directionInnovative -- prefers working in unconventional ways or on tasks that require creativityThis Company Describes Its Culture as:Innovative -- innovative and risk-takingOutcome-oriented -- results-focused with strong performance cultureTeam-oriented -- cooperative and collaborativeCompany's website:https://triplebyte.com/Company's Facebook page:https://www.facebook.com/triplebyte/Benefit Conditions:Only full-time employees eligibleWork Remotely:Yes"
2,pj_a6565e2068a4ae6a,Data Scientist,"Washington, DC 20002 (Gateway area)","Curative Inc,","$145,000 - $225,000 a year",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AGYh7GGeTdfBaT0A1dFC-GwAO9-iORcCjVCf9Rr1JoLBWLutfXfIRO5a7SkNcMm8rTmHGLIU-IKctATiuJ7FNRE7dJ-rVY4Yo_o5GP6mCxqv9g4v7SUEU_5-lthZHaGaJZSYasZfe_1ymdRHLJq2trSGWPX_moOcHrH2sw_M-HvolMkN-G9r4Tmwk2-f1WY07KQ4Uqr6CDR0s_UdcD_ndsfwU6P-6oC9BHJVfNeFls9k36gROle01luqNduUOkCC7ZnSH0yqz8G2ZAXcg2absm_4_C3-SjGX1zu0BBd3BEJGfCMyOCASQyXNcJ9eRWSioFdMq3TM_0pJhHhcICeJBetr82KwN1EmXnFRupGOc56xZFGa_fPotiHJB-WfMLn62OH81Q9B4rEfWy66iQlE7EOUmcqKEMdRuScCpo1ngCWS_IKTJAv6Vl_p_wv5wptiM=&p=2&fvj=1&vjs=3,"Curative is Slowing the Spread of COVID-19!We’re working to provide communities with 24-hour COVID-19 testing at scale with a significantly more efficient and precise oral fluid test that reduces pressure on medical supply chains and healthcare workers.We seek data scientists to help us optimize performance and identify problems quickly, to fight this pandemic. We generate millions of data points each day about our test, the disease and our patients.We need driven data scientists to begin solving the following projects:- Forecasting testing demand from each location for the next few days- tracking lab performance- spotting anomalies in the lab that indicate bad batches of reagent- predicting bottlenecks in our lab processes- supply chain monitoring- optimizing routing kits to labs for the fastest test turnaround timeIdeal candidate:- experience with Python and Postgres- experience modeling, understands basic statistical concepts- great at communicating, can work with Lab Operations and assay scientists- can generate visualizations and metrics to answer questions from across the company and track key metrics- can work quickly, on their own and with a remote team- comfortable in a startup environment: confident building from scratch, fast changing requirements and nothing is someone else's problem.Job Type: Full-timeBenefits:401(k)Dental InsuranceHealth InsurancePaid Time OffVision InsuranceSchedule:Monday to FridayExperience:applicable: 2 years (Required)Start-Ups: 1 year (Preferred)Python: 2 years (Required)Education:Master's (Preferred)Work authorization:United States (Required)This Company Describes Its Culture as:Innovative -- innovative and risk-takingAggressive -- competitive and growth-orientedCompany's website:https://www.curativeinc.com/Benefit Conditions:Waiting period may applyWork Remotely:No"
3,p_a06bf34846c61e63,Data Scientist,"Philadelphia, PA",GradTests (gradtests.com),"$145,000 - $225,000 a year",https://www.indeed.com/company/GradTests/jobs/Data-Scientist-a06bf34846c61e63?fccid=3b57c72e54f9233d&vjs=3,"The BusinessGradTests.com is a leading provider of practice psychometric tests to graduates, students and young professionals.The RoleA data science all rounder role. The core purpose of the role is to build models to improve the product, the customer experience and ultimately the business. We're looking for someone with a nice blend of technical skills, and softer skills like business acumen, decision making and communication skills.You'll do things like:Conceive, devise, create, implement and fine tune data science models to solve a range of business problems, from customer churn through toSet up, run and analyse A/B experiments for the website and email marketing campaignsHelp devise and layout a high quality infrastructure, upon which future data science can flourishHelp up skill other analytical team members into advanced data science techniquesProduce ad hoc analysesAnd let's be honest, a whole load of data wrangling!Skills and experienceNon negotiables:SQLPython or RData science models (K-means, random Forrest, neural nets etc.)Strong foundational knowledge in stats and mathsExperience in actually productionising models and exposing to real customersBusiness acumenStrong communication skills, both written and verbalNice to haves:Experience in working with developers, especially on experimentationSome kind of cloud based experience (AWS preferred)Some basic knowledge of source control with GitOur application process consists of some online testing with Alooba, video call interview and then a case study. We expect the process to take about 10 business days end to end.Job Types: Full-time, ContractSalary: $120,000.00 per yearExperience:Analytics: 1 year (Preferred)Work Remotely:Yes"
4,pj_2aac1cbbe38ae283,Data Scientist,"Dallas, TX",Pilot Flying J,"$145,000 - $225,000 a year",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BHJw5Gis_UoRXmUXA_4bvf0XyzDjfGlzFyeSANx3GshhJszKhUeNNGZ_Kfqw5K738Vnqeg9UkHJNtVD2LgZlSkr7XRqIN-hyV1LupYvFlIWjxjYnFLWdRVONZXlR_xNc6kx_7xebBOGDTXf9-r5aKCQsPkIrMVEWgN0lT23rmZVF2UeDklQ30QruHvh_Kg0TdDgr3bCl1hdLG2NQDHm5pn2T9psWX4CwZObEAnWDJp7WxyMgd3CPKc7vTFa2Jr2s4P7j7jLG8Km9fucwm1jiKpBN_z56dFjZ5uEzdvrAoDsQdv4PjD_c8nvTyJBrs_3hYTkCOAwom4hBo6LDl6sUmY0xnzQUknOZhe2SMEoSETiLZ2DvXinvxaHKmcX1UcZNZQZ3Wfj2Tt7zkSAzaLOhA0S8WHsRCOevNV_E3o_bChzv6XWqdZKt0j&p=4&fvj=1&vjs=3,"DATA SCIENTIST WHO WE ARE At Pilot Company, our care and commitment to our team members comes from a deeply rooted history that started nearly 60 years ago. Since that opening we have celebrated many accomplishments and have stayed true to our mission of connecting people and places with comfort, care and a smile at every stop. We are the largest operator of travel centers in North America serving over a million guests every day and we’re now starting a new chapter in our rich history.We’re launching a brand-new Analytics Center of Excellence whose mission is to maximize the use of our rich data sets using the latest technologies and ways of working, growing our colleagues and communities along the way. We have gathered vast data sets that are fueled by a robust data infrastructure to support it. Now, we are in a position to use the richest data pool in our history to solve complex and interesting problems, so our team is growing and seeking bright professionals eager to be a part of the journey.WHO YOU ARE· You have a Bachelor’s in Data Science, Computer Science, Engineering, Statistics and 5+ years experience required OR Graduate degree in a quantitative discipline and demonstrated Data Science skills, plus 2+ years work experience· You have deep expertise in Python or R and SQL and curious to learn more about Scala· You have experience with Big Data technologies and machine learning platforms like PySpark· Popular optimization frameworks and libraries (Python, Gurobi) have no secrets for youWHAT YOU’LL DOAs a Data Scientist you will be an instrumental member of our Analytics Center of Excellence. You will apply exceptional expertise in artificial intelligence through the use of machine learning, data mining, and information retrieval to design, prototype and build next generation advanced analytics engines and services. Furthermore, you will:· Deliver systematic approaches, integrating work into applications and tools with our cross-functional teams of data engineers, business pioneers, analysts and developers· Create repeatable, interpretable, dynamic and scalable models that are seamlessly incorporated into statistical data products· Engineer features by using your business acumen that will improve analytical models and are easy to interpret· Effectively communicate the analytics approach and how it will meet and address goals to our business partners· Advocate and educate on the value of data directed outcomes making focusing on the “how and why” of solving problemsEvery single day we are proud to make life better for our team members and our guests. We are fueling life's journeys and a career with Pilot is an opportunity to work hard, have fun and live up to your full potential. Do you want to become part of the Pilot family?Pilot is an Equal Opportunity Employer. Pilot does not discriminate on the basis of race, religion, color, sex, gender identity, sexual orientation, age, non-disqualifying physical or mental disability, national origin, veteran status or any other basis covered by appropriate law. All employment is decided on the basis of qualifications, merit, and business need.Job Type: Full-timePay: $87,000.00 - $135,000.00 per yearExperience:Data Science: 5 years (Preferred)Java: 5 years (Preferred)Optimization Framework: 3 years (Preferred)PySpark: 3 years (Preferred)Python or R: 5 years (Preferred)Education:Bachelor's (Preferred)Work authorization:United States (Preferred)Work Location:One locationThis Job Is Ideal for Someone Who Is:Dependable -- more reliable than spontaneousPeople-oriented -- enjoys interacting with people and working on group projectsAdaptable/flexible -- enjoys doing work that requires frequent shifts in directionDetail-oriented -- would rather focus on the details of work than the bigger pictureAchievement-oriented -- enjoys taking on challenges, even if they might failAutonomous/Independent -- enjoys working with little directionInnovative -- prefers working in unconventional ways or on tasks that require creativityHigh stress tolerance -- thrives in a high-pressure environmentCompany's website:https://pilotflyingj.com/Benefit Conditions:Waiting period may applyWork Remotely:Yes"
5,pj_6e7b4efe3821eb15,Data Scientist,"Oakland, CA",Global Fishing Watch,"$145,000 - $225,000 a year",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AzWmA8As_vaL4Sr9m33zM3gnDWnXp_ISaSH-BAZphofb735YXbQHp7i5kO3dR6Df3pC8qnfGeIX5MlcIa_cpnhUXfKbbYL4dVq9j4woSwnpjYSKRty3ZiVs-4RulhPK7RrQVS3gk9c9pxQMz_MQChO2NoZKb-QBleUPbtSkOCn3C80XIxARk3bRJRVQwOXvGIlc1iPLtOpp7whED6pdDGfQWha4Ysw9V0LAvz-noc_9TBmLMEH9NkhS-grwBSp5NGOs8GSopJ3cwm0HiTMG2CaEZzDmbLKyFl_yuemlYpm1V7ylA5YuwScGSaL6Bl7r_01qgzE2H-2Q8WszbbBaAzIOObfcw9i_GNsGuSNkyIlZ-SqYF7ft0oLCC-unMADKDoAa1rsi4U6_1udnXBCJ8Ir_46a1UQQ-4NxV8EVIW--r8ZmtUIHmUPhHlsLDxqow_Y=&p=5&fvj=1&vjs=3,"Data Scientist – Global Fishing Watch General Summary Global Fishing Watch (GFW) is an independent, international non-profit organization that advances the sustainability and stewardship of the ocean by offering, for free, data and near real-time tracking of commercial fishing activity. We also support new science and research and we engage with governments, management organizations, and NGOs to advance the global dialogue on ocean transparency.GFW processes a global database of vessel GPS positions, several terabytes in size, and applies machine learning models that infer each vessel’s type and size as well as when they are likely fishing. GFW is now developing new models, both on these GPS positions and on satellite imagery, to fully reveal activity in the world's oceans. These models include object detection from global feeds of satellite radar and optical imagery, and models that infer, based on vessel behavior, illegal activity and unreported catch. We believe that these new models have the potential to dramatically change the way we monitor and manage the world’s oceans.We are looking for a data scientist to join our research and innovation team to help develop these models. This team works closely with external GFW academic partners to develop models and research, and also with the internal GFW engineering team to scale our methods and put them into production.The Position Working closely with the GFW technical teams, the data scientist will help organize data and build models to understand several global datasets that reveal human activity on the world’s oceans. The two key types of data are 1) vessel GPS data and 2) satellite imagery (both optical and radar). A strong ability to work in R or Python is required, as well as abilities to manipulate data in SQL.The ideal candidate will be excited about working with global data, and will have a high aptitude for learning new techniques. Although it is obviously helpful, we do not expect that you already have a deep knowledge of building models or our key programming languages; we do expect that you have the aptitude to develop these skills and knowledge, and that you are excited about revealing human activity across the global ocean using these tools. Global Fishing Watch values working quickly, innovating, and working collaboratively. Our entire team works remotely, so the ideal candidate is able to manage their own time and be effective with limited daily oversight. Finally, we are passionate about producing research and datasets that will make a difference in how we manage the world’s oceans.The exact projects the data scientist will focus on will depend on the candidate and other factors at GFW. Possible projects include:Helping the machine learning engineers build models to identify fishing vessels from satellite and optical imagery -- experience with remote sensing, and especially synthetic aperture radar -- is helpfulCombining vessel detections from imagery with vessel GPS detections to identify vessels that are not broadcasting their locationsDeveloping models to estimate pollution from ocean going vessels, including noise pollutionUsing vessel behavior to identify vessels that have an elevated risk of using forced labor or engaging in other illegal activityCombing vessel tracking data with animal telemetry data (gps devices that have been attached to sharks and tunas) to build models to identify the likely catch and bycatch of ocean going vesselsCollaborating with the GFW engineering team to automate models.Engaging with GFW Research Partners to develop these models and publish peer reviewed papers (the GFW Research Program has produced more than 20 academic papers, including many published at top journals)Write blogs and present public visualizationsJob Requirements Required Technical SkillsDemonstrated skills with Python or R, with preference for PythonStrong SQL skillsStrong mathematical capabilitiesDemonstrated abilities to understand and interpret large datasets, including strong statistical understandingRequired Team and Communication SkillsTeam player, willing to work, teach, learn with/to/from the GFW teamProactive mindset – enjoys and exhibits a high-degree of ownership of tasks and projectsComfortable working in a small but fast growing organizationExcellent communication skills – in person, phone, and, most important, writtenComfortable communicating with a wide range of individuals, including peers, juniors and senior level people, and government officials from multiple countriesIntellectually curious, forward thinking, willing to suggest / try new technologies and creative approaches to problemsAbility to work in a remote-only distributed team (in more than 5 different time zones)Helpful Skills, but can be learned on the jobGoogle Earth EngineDistributed computation, such as Apache Beam (preferred), or Hadoop, Spark, etc.TensorflowNeural networksKnowledge about marine science and human impacts on the oceanDocumenting all knowledge produced so it can be distributed among the organization and to the publicLocation: GFW has a distributed workforce, with employees all over the world.This position will require the individual to have a time zone that overlaps significantly with California and Buenos Aires, with strong preference for U.S.Pacific, Central, or Mountain time.Responsible to: Research & Innovation DirectorSalary or Compensation: Commensurate with experience. G FW offers pension/retirement, health and other benefits commensurate with similar levelGFW employees in the country of employment.Working Hours: GFW supports flexible working, so the pattern of hours may vary according to operational and personal needs. GFW works across different time zones and weekend work may be required on occasion. Periodic domestic and international travel will be required to meet with team members and for workshops. No overtime is payable.Travel: Currently suspended due to COVID-19. In person team meetings may occur once every few months.Holiday: Paid holiday/vacation commensurate with other, similar-level GlobalFishing Watch employees/contracts in the country of employment.Equal opportunities: GFW is an equal opportunities employer and commitment to this process is expected.Job Type: Full-timePay: $45.00 - $65.00 per hourExperience:data scientist: 3 years (Preferred)Python: 3 years (Preferred)Work Location:Fully RemoteBenefits:Health insuranceDental insuranceRetirement planPaid time offWork from homeFlexible scheduleThis Company Describes Its Culture as:Innovative -- innovative and risk-takingPeople-oriented -- supportive and fairness-focusedTeam-oriented -- cooperative and collaborativeSchedule:Monday to FridayBenefit Conditions:Only full-time employees eligibleWork Remotely:Yes"
6,p_dc9e979ce12cec90,Data Scientist - Entry Level,"Parsippany, NJ","Langan Engineering and Environmental Services, Inc...","$145,000 - $225,000 a year",https://www.indeed.com/rc/clk?jk=dc9e979ce12cec90&fccid=b05b3d3479dad52b&vjs=3,"Work for an Industry Leader

Challenging Projects & Dynamic Work Environment

Extensive Training Program

Community Service Opportunities
Langan is an award-winning ENR Top 500 Design Firm that offers integrated engineering and environmental services for both public and private sector clients at sites located throughout the United States and abroad. Langan receives numerous recognitions for its technical expertise as well as its work environment, including “Best Places to Work” by NJBIZ, Zweig Group’s “Hot Firm” and ranked “Best Firm to Work For” in four categories, “Best Places to Work in Pennsylvania” by Best Companies Group and Pittsburgh Business Times “Best Places to Work in Western PA”, “Top Engineering Firm” by both San Francisco Business Times and Silicon Valley Business Journal. Visit our website for more information about our awards and recognitions.
Langan offers its employees opportunities that provide challenge and responsibility within an environment where they can grow and flourish! Join our team of industry leaders and make a difference on some of the most exciting and interesting projects in the field!
Langan has an opening for a Data Scientist in our Parsippany, NJ office. The successful candidate will have an enthusiastic, can-do attitude and will work on exciting Information Technology projects for an engineering consulting firm.
Job Responsibilities:
Researching and developing statistical learning models for data analysis;
Collecting and interpreting data;
Manipulation and visualization of business data using data visualization techniques and tools;
Data analysis to discover trends and patterns;
Working alongside teams within the business or the management team to establish business needs; and
Defining new data collection and analysis processes.
Job Requirements:
Experience using statistical computer languages (R, Python, SLQ, etc.) to manipulate data and draw insights from large data sets;
Proficiency in PowerBI\Tableau or other data visualization tools;
Microsoft Office (Access, Excel, Word and PowerPoint);
Strong understanding of data-mining techniques and an ability to apply these techniques in practical real-world business issues;
Knowledge of a variety of machine learning techniques and their real-world advantages/drawbacks;
Experience in data models and reporting packages;
Ability to analyze large datasets;
Ability to write comprehensive reports;
Strong verbal and written communication skills;
An analytical mind and inclination for problem-solving;
Attention to detail; and
Ability to proactively organize, prioritize, and multitask effectively in a fast-paced environment.
We offer competitive compensation packages; full-time employment company paid medical, dental, and vision coverage; life insurance, short- and long-term disability insurance; 401(k)/Roth with company match; extensive training; buddy and mentoring programs; employee referral and professional license bonuses; educational reimbursement; and much more!

Equal Opportunity Employer"
7,p_acb7925431f96873,Sports Betting Data Scientist,"New York, NY 10007 (Tribeca area)",Line Sniper,"$145,000 - $225,000 a year",https://www.indeed.com/company/Line-Sniper/jobs/Sport-Betting-Data-Scientist-acb7925431f96873?fccid=318282eb2544e24d&vjs=3,"We are looking for a driven sports data analyst to build quantitive sports predictive models. The role should have a solid understanding of how to analyze sport data and build predictive models. Key skills include: familiarity with statistical programs such as R or python. More details to be provided during interview.Experience having built a predictive sports model previously is highly recommended.Job Type: Full-timePay: $2,000.00 - $4,000.00 per monthSchedule:Monday to FridayWork Location:One locationThis Job Is Ideal for Someone Who Is:Dependable -- more reliable than spontaneousDetail-oriented -- would rather focus on the details of work than the bigger pictureAchievement-oriented -- enjoys taking on challenges, even if they might failThis Company Describes Its Culture as:Detail-oriented -- quality and precision-focusedOutcome-oriented -- results-focused with strong performance cultureWork Remotely:Temporarily due to COVID-19"
8,p_1636faa0308fd08f,Data Scientist,"New York, NY",Source Enterprises,"$145,000 - $225,000 a year",https://www.indeed.com/rc/clk?jk=1636faa0308fd08f&fccid=1577085fc2290983&vjs=3,"Source Systems is now inviting the brightest, creative and passionate minds to become a part of our Data Scientist Internship Program. Work with our industry experts to gain unrivaled knowledge at both the strategic level (generating bold and innovative ideas for data science-driven growth) and at the tactical level across multiple teams (building and testing hypotheses, creating predictive analytics models, incorporating findings into proof points supporting product launches). These invaluable experiences will greatly increase your skills and value to employers. We know what it takes to leverage powerful data systems that are used to provide important results for company planning and key decision making.

Job Description

A position at Source Systems is a rich experience that cannot be duplicated in any other learning/working environment. We are looking for a Data Scientist Intern that helps us discover the information hidden in vast amounts of data, and help us make smarter decisions to deliver even better products. Your primary focus will be in applying data mining techniques, doing statistical analysis, and building high-quality prediction systems integrated with our products.

You will collaborate with cross-functional teams to define, design, implement, data mining capabilities and effectively provide the results, in a fast paced environment, necessary to meet our business needs. This position may include working remotely and provides flexible hours to accommodate productive work-flow.

Responsibilities:

Selecting features, building and optimizing classifiers using machine learning techniques
Data mining using state-of-the-art methods
Extending company’s data with third party sources of information when needed
Enhancing data collection procedures to include information that is relevant for building analytic systems
Processing, cleansing, and verifying the integrity of data used for analysis
Doing ad-hoc analysis and presenting results in a clear manner
Creating automated anomaly detection systems and constant tracking of its performance
Stay current on modern trends and advances in data mining technology
Work closely with our experts and other team members to efficiently prototype/develop features and functions for our various products
Perform other duties as assigned

Qualifications:

Internship candidates should have high interest in learning top of the line data mining platforms, programming, tools, testing, and analyzing business needs:

Understanding of machine learning techniques and algorithms, such as: k-NN, Naive Bayes, SVM, Decision Forests, etc.
Some knowledge of common data science toolkits, such as R, Weka, NumPy, MatLab, etc
Data visualization tools, such as D3.js, GGplot, etc.
NoSQL databases, such as MongoDB, Cassandra, HBase, etc.
Statistics skills, such as distributions, statistical testing, regression, etc.
Data-oriented personality
Excellent writing & organizational skills
Independent work ethic
Detail oriented
Strong drive to succeed
Entrepreneurial mindset
Proactive
Good communicator
Team player
Autonomous
Passion for coding, solving problems and working in a team environment
Use a provided online productivity platform to organize and keep track of your completed
tasks.

Makes suggestions for processes, coding, implementation, and/or performance improvements.

Please send a resume for consideration.

Part time and Full time positions available.

Flexible at home positions available."
9,p_ed96ba6c932e4422,Data Analyst/Scientist (0-2 yrs experienced only),"Alpharetta, GA","TekEdge Solution,Inc.","$145,000 - $225,000 a year","https://www.indeed.com/company/TekEdge-Solution,Inc./jobs/Data-Analyst-Scientist-ed96ba6c932e4422?fccid=77dab6ac109a2223&vjs=3","Roles & Responsibility of Data /Science Analyst ( 0-2 yrs experienced only)Data Analytics is the study of dissecting crude information so as to make decisions about that data. A significant number of the procedures and procedures of information investigation have been computerized into mechanical procedures and calculations that work over crude information for human utilization.Roles & Responsibility Apply Statistical and Machine Learning methods to specific business problems and data.Ensure data quality throughout all stages of acquisition and processing, including such areas as data sourcing/collection, ground truth generation, normalization, transformation, cross-lingual alignment/mapping, etc.Design, develop, evaluate, and release highly innovative models elevate the customer experience and track impact over timeCollaborate with colleagues from multidisciplinary science, engineering and business backgrounds.  * Work with engineers to develop efficient data querying and modelling infrastructure for both offline and online use casesManage your own process: identify and execute on high impact projects, triage external requests, and make sure you bring projects to conclusion in time for the results to be usefulCommunicate proposals and results in a clear manner backed by data and coupled with actionable conclusions to drive business decisionsUsing tools such as Tableau, Looker and GoogleData Studio to aggregate data from across our software tools to build and develop dashboards for both client-facing and internal purposes across the company that feature relevant KPIs and metricsCreate data dashboards and other data visualization tools to track progress to inform continuous quality improvement of the Congregate Settings Investigation and Response Unit.Benefits· 50 % of Health Insurance ( Medical, Dental, and Vision )· 2 weeks paid vacation in a year.· 401K Benefits.· Free On Job Support during the project.· We help eligible candidates with H1B, TN processing / Filing / Assistance, CPT / OPT Assistance, Background Check via Certified Companies· Travel expenses would be covered for face to face interviews· Relocation ExpensesJob Types: Full-time, Part-time, Temporary, Internship, ContractSalary: $65,000.00 to $80,000.00 /yearJob Types: Full-time, Part-time, Temporary, Internship, ContractSalary: $65,000.00 to $80,000.00 /yearJob Types: Full-time, Part-time, Temporary, ContractSalary: $65,000.00 to $80,000.00 /yearJob Types: Full-time, Part-time, Temporary, Internship, ContractPay: $65,000.00 - $80,000.00 per yearBenefits:401(k)Dental InsuranceHealth InsurancePaid Time OffRelocation AssistanceTuition ReimbursementSchedule:Monday to FridayEducation:Bachelor's (Preferred)Contract Length:Varies"
